# Frozen sample - do not edit by hand, do not re-draw without --force.
# seed=20260820  n=500  frame_size=2362322
# snapshot=BasicCompanyDataAsOneFile-2026-08-01.zip
# snapshot_sha256=dd625ad9b37c023c3cd8d942467d0a8348608bee15c13a4a9db1927e7ff23c21
# numpy=2.4.4 (default_rng/PCG64)
# stratified on sector_group x size_band (20 cells), proportional allocation.
# age_band is recorded but NOT stratified on.
# exclusions applied in order (removed -> remaining):
#   all rows in snapshot: removed 0 -> remaining 5695465
#   CompanyStatus = 'Active': removed 505001 -> remaining 5190464
#   SIC present: removed 216285 -> remaining 4974179
#   SIC not 99999 / 74990: removed 137480 -> remaining 4836699
#   accounts not DORMANT: removed 476051 -> remaining 4360648
#   SIC division is supplier-like: removed 1998326 -> remaining 2362322
# no generated-at timestamp on purpose: the same seed must give a byte-identical file.
company_number,company_name,reg_address_line1,reg_post_town,reg_postcode,sic_code,sic_text,accounts_category,incorporation_date,sector_group,size_band,age_band,holdout
03090204,LEA CONSULTANCY SERVICES LIMITED,2 HALL DRIVE,NANTWICH,CW5 6NA,70229,Management consultancy activities other than financial management,TOTAL EXEMPTION FULL,11/08/1995,business_services,small,old,False
03117037,TJK DEVELOPMENTS LIMITED,C/O STELLAR ASSET MANAGEMENT LIMITED,LIVERPOOL,L3 9AG,41100,Development of building projects,MICRO ENTITY,23/10/1995,construction_trades,micro,old,False
03400701,JAYLEC ELECTRICAL CONTRACTORS LIMITED,65 KNOWL PIECE,HITCHIN,SG4 0TY,43210,Electrical installation,TOTAL EXEMPTION FULL,09/07/1997,construction_trades,small,old,False
03671068,SYKES CHEMISTS LIMITED,328 ST HELENS ROAD,,BL3 3RP,47730,Dispensing chemist in specialised stores,MEDIUM,20/11/1998,wholesale_retail,larger,old,False
03737368,ANNOG CYF,TOWN HALL,LLANGEFNI,LL77 7LR,74909,"Other professional, scientific and technical activities n.e.c.",SMALL,22/03/1999,business_services,small,old,False
03771876,ELITE WORLDWIDE LIMITED,"5 ELSTREE GATE, ELSTREE WAY",HERTFORDSHIRE,WD6 1JD,53202,Unlicensed carrier,TOTAL EXEMPTION FULL,17/05/1999,transport_logistics,small,old,False
03859134,WILLINGHAM INVESTMENTS LIMITED,163 WEST ELLA ROAD,HULL,HU10 7RP,62020,Information technology consultancy activities,MICRO ENTITY,14/10/1999,business_services,micro,old,False
03918357,HASEMORE LIMITED,2 COMMUNICATIONS ROAD,NEWBURY,RG19 6AB,82990,Other business support service activities n.e.c.,TOTAL EXEMPTION FULL,03/02/2000,business_services,small,old,False
03925108,BW TECHNOLOGIES LIMITED,12A FLEET BUSINESS PARK SANDY LANE,FLEET,GU52 8BF,46900,Non-specialised wholesale trade,TOTAL EXEMPTION FULL,14/02/2000,wholesale_retail,small,old,False
04037750,JAMES MANSFIELD TIMBER LIMITED,UNIT F,UXBRIDGE,UB8 2RT,47789,Other retail sale of new goods in specialised stores (not commercial art galleries and opticians),TOTAL EXEMPTION FULL,20/07/2000,wholesale_retail,small,old,False
04116177,BP CORPORATE HOLDINGS LIMITED,CHERTSEY ROAD,MIDDLESEX,TW16 7BP,70100,Activities of head offices,FULL,23/11/2000,business_services,larger,old,False
04121793,PHSC PLC,THE OLD CHURCH,AYLESFORD,ME20 7PR,70229,Management consultancy activities other than financial management,GROUP,08/12/2000,business_services,larger,old,False
04241663,T.I.S.S. LIMITED,2 AVROE CRESCENT,BLACKPOOL,FY4 2DP,30990,Manufacture of other transport equipment n.e.c.,TOTAL EXEMPTION FULL,26/06/2001,manufacturing,small,old,False
04283420,AMBER-TECH ELECTRICAL SERVICES LIMITED,19 ABBEY ROAD,SURREY,CR2 8NJ,43210,Electrical installation,MICRO ENTITY,07/09/2001,construction_trades,micro,old,False
04403769,MICKLETON ENGINEERING LIMITED,STATION INDUSTRIAL ESTATE,BARNARD CASTLE,DL12 0NG,45200,Maintenance and repair of motor vehicles,MICRO ENTITY,26/03/2002,wholesale_retail,micro,old,False
04417292,THINK-LAB LIMITED,43 SEDGEFORD ROAD,LONDON,W12 0NA,74909,"Other professional, scientific and technical activities n.e.c.",MICRO ENTITY,15/04/2002,business_services,micro,old,False
04421657,CONDOR UK HOLDINGS LIMITED,CONDOR UK HOLDINGS LIMITED,POOLE,BH15 4AJ,52290,Other transportation support activities,GROUP,22/04/2002,transport_logistics,larger,old,False
04452147,JEREMY LEWISON LIMITED,21 ELMS AVENUE,LONDON,N10 2JN,82990,Other business support service activities n.e.c.,TOTAL EXEMPTION FULL,30/05/2002,business_services,small,old,False
04476908,PORTLAND JOINERY LIMITED,WADEBRIDGE HOUSE 16 WADEBRIDGE SQUARE,DORCHESTER,DT1 3AQ,16230,Manufacture of other builders' carpentry and joinery,MICRO ENTITY,03/07/2002,manufacturing,micro,old,False
04576779,MELODI LIMITED,STRADDEN HOUSE,LICHFIELD,WS13 6QD,62090,Other information technology service activities,TOTAL EXEMPTION FULL,30/10/2002,business_services,small,old,False
04647066,PTERO-BYTE LIMITED,FINSBURY HOUSE,CHIPPING NORTON,OX7 5LL,71111,Architectural activities,MICRO ENTITY,24/01/2003,business_services,micro,old,False
04660630,OUR WORLD OUR SAY,COASTWISE HOUSE,WORTHING,BN11 1SU,82990,Other business support service activities n.e.c.,UNAUDITED ABRIDGED,10/02/2003,business_services,small,old,False
04677276,ALLSERVE HEATING AND PLUMBING LIMITED,"HALE HOUSE, UNIT 5",PALMERS GREEN,N13 5TW,43220,"Plumbing, heat and air-conditioning installation",TOTAL EXEMPTION FULL,25/02/2003,construction_trades,small,old,False
04697898,ROTHERHAM HEALTHCARE HOLDINGS LIMITED,"SUITE 1, 7TH FLOOR, 50",LONDON,SW1H 0DB,70100,Activities of head offices,GROUP,14/03/2003,business_services,larger,old,True
04708345,TOP LINE MANAGEMENT UK LIMITED,19 OXFORD ROAD,BOURNEMOUTH,BH8 8GS,82990,Other business support service activities n.e.c.,TOTAL EXEMPTION FULL,23/03/2003,business_services,small,old,False
04743793,A1 MACHINE TOOLS LIMITED,1 CHURCH MEWS,MACCLESFIELD,SK11 6AY,33120,Repair of machinery,MICRO ENTITY,24/04/2003,manufacturing,micro,old,False
04749703,NETDALE LIMITED,THE POPLARS,BRIGG,DN20 8NQ,28990,Manufacture of other special-purpose machinery n.e.c.,MICRO ENTITY,30/04/2003,manufacturing,micro,old,False
04782202,TSC ENGINEERING LIMITED,UNIT E UPPER,SHIPLEY,BD17 7DW,71129,Other engineering activities,SMALL,30/05/2003,business_services,small,old,False
04818845,SURIYA JEWELS LIMITED,292 HIGH STREET NORTH,LONDON,E12 6SA,47770,Retail sale of watches and jewellery in specialised stores,UNAUDITED ABRIDGED,02/07/2003,wholesale_retail,small,old,False
04911799,PEMBROKE CASTLE SHOP LIMITED,RICHMOND HOUSE,PEMBROKE,SA71 4LA,47190,Other retail sale in non-specialised stores,TOTAL EXEMPTION FULL,25/09/2003,wholesale_retail,small,old,False
04938443,SHANE ANDREW (BUILDING) LIMITED,305 KINGSTON ROAD,HULL,HU10 6PX,43390,Other building completion and finishing,MICRO ENTITY,21/10/2003,construction_trades,micro,old,False
04951755,PYRAMID PROPERTY DEVELOPMENT LIMITED,UNIT 10 VALLEY COURT,MIDDLEWICH,CW10 0GF,82990,Other business support service activities n.e.c.,TOTAL EXEMPTION FULL,03/11/2003,business_services,small,old,False
04951981,IPCA LABORATORIES UK LIMITED,UNITS 97-98 SILVERBRIAR,SUNDERLAND,SR5 2TQ,21200,Manufacture of pharmaceutical preparations,GROUP,04/11/2003,manufacturing,larger,old,False
05050419,BSN (LONDON) LIMITED,55 LOUDOUN ROAD,LONDON,NW8 0DL,82990,Other business support service activities n.e.c.,TOTAL EXEMPTION FULL,20/02/2004,business_services,small,old,True
05062973,CAPITAL HOMES & CONSTRUCTION LIMITED,TOP FLOOR BUCKLEY HOUSE,ROMSEY,SO51 8GD,41100,Development of building projects,TOTAL EXEMPTION FULL,03/03/2004,construction_trades,small,old,False
05089080,VENTING LIMITED,72 LAIRGATE,BEVERLEY,HU17 8EU,32990,Other manufacturing n.e.c.,TOTAL EXEMPTION FULL,30/03/2004,manufacturing,small,old,True
05131762,LOVE WATER LIMITED,THE ESTATE OFFICE,WOODSTOCK,OX20 1PP,82990,Other business support service activities n.e.c.,SMALL,18/05/2004,business_services,small,old,False
05141783,WE ARE FACILITY LIMITED,THE STUDIO,BURGH HEATH,KT20 6DP,47190,Other retail sale in non-specialised stores,UNAUDITED ABRIDGED,01/06/2004,wholesale_retail,small,old,False
05178694,ENDEAVOURS (UK) LTD,"SENTINEL HOUSE, UNIT 36 OAKWOOD HILL INDUSTRIAL ESTATE",LOUGHTON,IG10 3TZ,82990,Other business support service activities n.e.c.,MICRO ENTITY,13/07/2004,business_services,micro,old,False
05198353,RESOURCE PRINT MANAGEMENT LIMITED,THE OLD STAR,PRINCES RISBOROUGH,HP27 9AA,18129,Printing n.e.c.,TOTAL EXEMPTION FULL,05/08/2004,manufacturing,small,old,False
05294390,CLEAR INVESTMENTS (UK) LIMITED,1 GREAT TOWER STREET,LONDON,EC3R 5AA,70100,Activities of head offices,GROUP,23/11/2004,business_services,larger,old,False
05426775,THE LAKELAND WINDOW COMPANY LIMITED,WIZA HOUSE,WIGTON,CA7 9BA,43341,Painting,MICRO ENTITY,18/04/2005,construction_trades,micro,old,False
05477996,G R STONE LIMITED,MANOR LODGE BROOK LANE,SOUTHAMPTON,SO30 2ER,69201,Accounting and auditing activities,MICRO ENTITY,10/06/2005,business_services,micro,old,False
05482648,FISH! RESTAURANTS LTD,"FIFTH FLOOR, CLAREVILLE HOUSE 26-27 OXENDON STREET",LONDON,SW1Y 4EL,46380,"Wholesale of other food, including fish, crustaceans and molluscs",TOTAL EXEMPTION FULL,16/06/2005,wholesale_retail,small,old,True
05506012,INTELLETECH LIMITED,TAGUS HOUSE,SOUTHAMPTON,SO14 3TJ,62090,Other information technology service activities,TOTAL EXEMPTION FULL,12/07/2005,business_services,small,old,False
05547333,BELLA CARS LIMITED,"PRINCE ROYD, HALIFAX ROAD",HUDDERSFIELD,HD3 3BS,45112,Sale of used cars and light motor vehicles,TOTAL EXEMPTION FULL,26/08/2005,wholesale_retail,small,old,False
05638730,DOUGLAS WILLIS LIMITED,5 GRANGE INDUSTRIAL ESTATE,CWMBRAN,NP44 8HQ,10130,Production of meat and poultry meat products,TOTAL EXEMPTION FULL,29/11/2005,manufacturing,small,old,True
06100322,BC PROJECTS LIMITED,82 KEMPS GREEN ROAD,COVENTRY,CV7 7QE,43390,Other building completion and finishing,MICRO ENTITY,13/02/2007,construction_trades,micro,old,False
06124143,EXEGY UK LIMITED,5 NEW STREET SQUARE,LONDON,EC4A 3TW,62020,Information technology consultancy activities,GROUP,22/02/2007,business_services,larger,old,False
06293394,STEVE METCALFE SERVICES LIMITED,"ROSYTH, 6 KNUTSFORD OLD ROAD",WARRINGTON,WA4 2LD,82990,Other business support service activities n.e.c.,MICRO ENTITY,26/06/2007,business_services,micro,old,False
06296862,KND CONSTRUCTION LIMITED,CORONATION PARADE,PINNER,HA5 1HW,43320,Joinery installation,TOTAL EXEMPTION FULL,29/06/2007,construction_trades,small,old,False
06393834,MATLEGA CONSTRUCTION LIMITED,1 THE FRENCHES,REDHILL,RH1 2HF,41100,Development of building projects,TOTAL EXEMPTION FULL,09/10/2007,construction_trades,small,old,False
06416356,ALPHA CLADDING SYSTEMS LIMITED,15 OAKCROFT CLOSE,GLOUCESTER,GL4 6NU,46130,Agents involved in the sale of timber and building materials,TOTAL EXEMPTION FULL,02/11/2007,wholesale_retail,small,old,False
06452852,DAVE BARNETT MOTORS LTD,UNIT17C RAWDON COURT BUSINESS,MAIDSTONE,ME15 6PT,45200,Maintenance and repair of motor vehicles,MICRO ENTITY,13/12/2007,wholesale_retail,micro,old,True
06648143,GOOSEDALE BANQUETING LIMITED,GOOSEDALE GOOSEDALE LANE,NOTTINGHAM,NG6 8UJ,70229,Management consultancy activities other than financial management,TOTAL EXEMPTION FULL,16/07/2008,business_services,small,old,False
06753925,NUMBER CRUNCHER BUSINESS SERVICES LIMITED,THE CONIFERS CHAVEY DOWN ROAD,BRACKNELL,RG42 7PS,82990,Other business support service activities n.e.c.,MICRO ENTITY,20/11/2008,business_services,micro,old,False
06759982,ONBIKE LIMITED,ANGLO HOUSE,STOURPORT-ON-SEVERN,DY13 9AW,47990,"Other retail sale not in stores, stalls or markets",MICRO ENTITY,27/11/2008,wholesale_retail,micro,old,False
06789108,MI CONSULTING UK LIMITED,MAGMA HOUSE,RUGBY,CV23 0UZ,70229,Management consultancy activities other than financial management,TOTAL EXEMPTION FULL,12/01/2009,business_services,small,old,False
06827853,LUCIAN CAMP CONSULTING LIMITED,YEW TREE HOUSE,FOREST ROW,RH18 5AA,70229,Management consultancy activities other than financial management,TOTAL EXEMPTION FULL,24/02/2009,business_services,small,old,False
06875003,KDM FORCE LTD,"BALFOUR HOUSE, SUITE 205",LONDON,N12 0BP,82990,Other business support service activities n.e.c.,MICRO ENTITY,09/04/2009,business_services,micro,old,False
06967109,TGI TAVERNS LIMITED,SUITES 10 - 12 THE HIVE,STEVENAGE,SG1 3HW,41100,Development of building projects,TOTAL EXEMPTION FULL,20/07/2009,construction_trades,small,old,False
06989729,AXIOM MEDICAL LTD,5 ST. ANDREWS ROAD,LONDON,NW11 0PH,72110,Research and experimental development on biotechnology,MICRO ENTITY,13/08/2009,business_services,micro,old,True
07087811,VGAAS UK LIMITED,MACHINE WORKS HOUSE,HAYES,UB3 1FD,41201,Construction of commercial buildings,MICRO ENTITY,26/11/2009,construction_trades,micro,old,False
07130437,M. YOUDE CONSULTANCY LIMITED,ELM PARK COURT,PINNER,HA5 3NN,82990,Other business support service activities n.e.c.,MICRO ENTITY,19/01/2010,business_services,micro,old,False
07145959,DIAMOND FACILITIES SUPPORT LIMITED,UNIT 2222 - 2226 THE CRESCENT,BIRMINGHAM,B37 7YE,43999,Other specialised construction activities n.e.c.,MEDIUM,04/02/2010,construction_trades,larger,old,False
07263810,BLACKPOOL FOOD & BEVERAGES LIMITED,11 GEORGE STREET WEST,LUTON,LU1 2BJ,47110,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",TOTAL EXEMPTION FULL,25/05/2010,wholesale_retail,small,old,True
07291471,EZ MANAGEMENT LIMITED,1192A STRATFORD ROAD,BIRMINGHAM,B28 8AB,43999,Other specialised construction activities n.e.c.,MICRO ENTITY,22/06/2010,construction_trades,micro,old,False
07343111,ABBEY SCIENTIFIC LIMITED,LANTERNS 4 LONG PARK,AMERSHAM,HP6 5JX,72190,Other research and experimental development on natural sciences and engineering,MICRO ENTITY,11/08/2010,business_services,micro,old,False
07352081,HPPA LIMITED,424 MARGATE ROAD,RAMSGATE,CT12 6SJ,33170,Repair and maintenance of other transport equipment n.e.c.,TOTAL EXEMPTION FULL,20/08/2010,manufacturing,small,old,False
07395444,FUNMISTIC UK LIMITED,50 WALES FARM ROAD,LONDON,W3 6UE,47990,"Other retail sale not in stores, stalls or markets",TOTAL EXEMPTION FULL,04/10/2010,wholesale_retail,small,old,True
07405306,COUVRE-FEU FIRE CONSULTING LIMITED,8 PARK ROAD,HERTFORD,SG13 7LF,74909,"Other professional, scientific and technical activities n.e.c.",MICRO ENTITY,12/10/2010,business_services,micro,old,False
07503252,ASSOCIATE PLANET LIMITED,GREENBANK COTTAGE BLACK HILL,HAYWARDS HEATH,RH16 2BU,62020,Information technology consultancy activities,MICRO ENTITY,24/01/2011,business_services,micro,old,False
07506175,PERSONAL BEST CONSULTING LTD,WOODBURY BANNACLE HILL ROAD,GODALMING,GU8 5UB,70229,Management consultancy activities other than financial management,MICRO ENTITY,26/01/2011,business_services,micro,old,True
07588214,OVERBURY INTERIORS LIMITED,OVERBURY COURT,ALTON,GU34 4BX,74100,specialised design activities,TOTAL EXEMPTION FULL,01/04/2011,business_services,small,old,False
07660695,KINGSTON LABS LTD,16 PELHAM GARDENS,FOLKESTONE,CT20 2LF,62090,Other information technology service activities,UNAUDITED ABRIDGED,07/06/2011,business_services,small,old,False
07661280,VANTAGE FUNDRAISING LTD,6 TERRICK ROAD,LONDON,N22 7SH,82990,Other business support service activities n.e.c.,MICRO ENTITY,07/06/2011,business_services,micro,old,False
07853618,ASET CONSULTING LIMITED,4 FRIARY ROAD,LICHFIELD,WS13 6QL,62020,Information technology consultancy activities,UNAUDITED ABRIDGED,18/11/2011,business_services,small,old,False
07871599,LYBURN CONSTRUCTION LTD,512 STAINES ROAD,FELTHAM,TW14 8DF,41202,Construction of domestic buildings,MICRO ENTITY,05/12/2011,construction_trades,micro,old,False
07871717,STUART ARMSTRONG & CO (SCUNTHORPE) LIMITED,25 WELLS STREET,SCUNTHORPE,DN15 6HL,69201,Accounting and auditing activities,MICRO ENTITY,05/12/2011,business_services,micro,old,False
07930424,MY SPARE TIME LIMITED,"UNIT 6, CHERRYTREE FARM BLACKMORE END ROAD",HALSTEAD,CO9 3LZ,43999,Other specialised construction activities n.e.c.,TOTAL EXEMPTION FULL,31/01/2012,construction_trades,small,old,False
07948940,KJZH CONSULTING LIMITED,BLACKACRE COTTAGE,BRADFORD ON-AVON,BA15 2RW,74909,"Other professional, scientific and technical activities n.e.c.",TOTAL EXEMPTION FULL,14/02/2012,business_services,small,old,False
07958670,MAIKE GRUNA INTERIORS LIMITED,4H FLOOR CHARLES HOUSE,LONDON,NW3 5JJ,74100,specialised design activities,TOTAL EXEMPTION FULL,21/02/2012,business_services,small,old,False
07972006,1ST CHOICE STAFF RECRUITMENT LIMITED,CHESTER BUSINESS CENTRE,CHESTER,CH1 1QP,78109,Other activities of employment placement agencies,SMALL,01/03/2012,business_services,small,old,False
07986475,BRISTOL AVON RIVERS TRUST,THE OAKLEY,DROITWICH,WR9 9AY,82990,Other business support service activities n.e.c.,TOTAL EXEMPTION FULL,12/03/2012,business_services,small,old,False
07992976,SAM WILKINSON SOLID FUELS LTD,28 BAGDALE,WHITBY,YO21 1QL,46719,Wholesale of other fuels and related products,MICRO ENTITY,15/03/2012,wholesale_retail,micro,old,False
08029705,ANFIELD E-COMMERCE LTD,20-22 WENLOCK ROAD,LONDON,N1 7GU,47910,Retail sale via mail order houses or via Internet,TOTAL EXEMPTION FULL,13/04/2012,wholesale_retail,small,old,False
08109951,SHOWCASE INDUSTRIES LTD,THE BARN,STOCKBRIDGE,SO20 6LQ,73110,Advertising agencies,TOTAL EXEMPTION FULL,18/06/2012,business_services,small,old,False
08139080,SANDHU'S GOLDEN FISH INN LIMITED,SANDHU HOUSE,CONSETT,DH8 7BA,47230,"Retail sale of fish, crustaceans and molluscs in specialised stores",TOTAL EXEMPTION FULL,11/07/2012,wholesale_retail,small,old,False
08169690,LOYALTY APPS LTD,86-90 PAUL STREET,LONDON,EC2A 4NE,62090,Other information technology service activities,MICRO ENTITY,06/08/2012,business_services,micro,old,False
08195468,SEW MUCH TO DO LTD,E-SPACE NORTH 181 WISBECH ROAD,ELY,CB6 1RA,47510,Retail sale of textiles in specialised stores,TOTAL EXEMPTION FULL,30/08/2012,wholesale_retail,small,old,False
08201343,A WARBURTON BUILDING SERVICES LIMITED,10 CARNOUSTIE DRIVE,BURY,BL0 9QL,41100,Development of building projects,TOTAL EXEMPTION FULL,04/09/2012,construction_trades,small,old,False
08368807,HILARY AF DOLBY LIMITED,"THE OLD MILL BLISWORTH HILL FARM, STOKE ROAD",NORTHAMPTON,NN7 3DB,70229,Management consultancy activities other than financial management,TOTAL EXEMPTION FULL,21/01/2013,business_services,small,old,False
08582809,THE COTTON TEXTILE COMPANY LIMITED,26 TALLON ROAD,BRENTWOOD,CM13 1TJ,13990,Manufacture of other textiles n.e.c.,MICRO ENTITY,25/06/2013,manufacturing,micro,old,True
08618394,GOLDING ACCOUNTANCY LTD,15 EASTWOOD ROAD,RAYLEIGH,SS6 7JD,69201,Accounting and auditing activities,TOTAL EXEMPTION FULL,22/07/2013,business_services,small,old,False
08673542,THE FOREIGN & COMMONWEALTH FORUM LTD,"SUITE 67, MADDISON HOUSE",CROYDON,CR9 1DF,46900,Non-specialised wholesale trade,MICRO ENTITY,03/09/2013,wholesale_retail,micro,old,False
08695321,RYE BAKERY LTD,WHITTOX LANE,FROME,BA11 3BY,47240,"Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",TOTAL EXEMPTION FULL,18/09/2013,wholesale_retail,small,old,False
08791927,SORT MI TAX LIMITED,55 WESTWOOD LANE,WELLING,DA16 2HJ,69203,Tax consultancy,MICRO ENTITY,27/11/2013,business_services,micro,old,False
08811654,AUNT SALLY'S (WALSALL) LTD,34 BRIDGE STREET,WALSALL,WS1 1HR,47110,"Retail sale in non-specialised stores with food, beverages or tobacco predominating",MICRO ENTITY,12/12/2013,wholesale_retail,micro,old,False
08811754,K2 INTERIORS (UK) LTD,5 CHURCHILL ROAD,BEDFORD,MK45 4NH,41202,Construction of domestic buildings,TOTAL EXEMPTION FULL,12/12/2013,construction_trades,small,old,False
08832736,NADEN-BROWN LIMITED,137 HAREWOOD ROAD,ROCHDALE,OL11 5TN,62020,Information technology consultancy activities,MICRO ENTITY,06/01/2014,business_services,micro,old,False
08877084,ODYSSEY ELECTRICAL SERVICES LTD,54D FROME ROAD,BRADFORD ON AVON,BA15 1LA,43210,Electrical installation,MICRO ENTITY,05/02/2014,construction_trades,micro,old,False
09135354,BULLHORN CONSULTANTS LIMITED,24 TEMPLE MEAD CLOSE,STANMORE,HA7 3RG,62020,Information technology consultancy activities,TOTAL EXEMPTION FULL,17/07/2014,business_services,small,old,False
09174733,SETARA LTD,84 KATHERINE ROAD,LONDON,E6 1EN,46900,Non-specialised wholesale trade,MICRO ENTITY,13/08/2014,wholesale_retail,micro,old,False
09180939,ATA EXPRESS LTD,C/O SAM ACCOUNTANTS LTD,NORTH HARROW,HA2 7SR,53202,Unlicensed carrier,MICRO ENTITY,19/08/2014,transport_logistics,micro,old,False
09184464,THE MOCKETT TRUST LIMITED,63 ESMOND ROAD,LONDON,W4 1JE,41100,Development of building projects,MICRO ENTITY,21/08/2014,construction_trades,micro,old,False
09256187,VLMR SERVICES LTD,29 SCOTLANDS CLOSE,HASLEMERE,GU27 3AE,70229,Management consultancy activities other than financial management,MICRO ENTITY,09/10/2014,business_services,micro,old,False
09286668,HATTON ELECTRICAL WHOLESALE (COTSWOLD) LIMITED,UNIT 20B BOURTON INDUSTRIAL PARK,CHELTENHAM,GL54 2HQ,46520,Wholesale of electronic and telecommunications equipment and parts,TOTAL EXEMPTION FULL,29/10/2014,wholesale_retail,small,old,False
09288646,PAJO TRANSPORT LTD,5 FURNESS CLOSE,WALSALL,WS3 2UA,49410,Freight transport by road,TOTAL EXEMPTION FULL,30/10/2014,transport_logistics,small,old,False
09308961,BIM MANAGEMENT LIMITED,320 FIRECREST COURT,WARRINGTON,WA1 1RG,82990,Other business support service activities n.e.c.,MICRO ENTITY,13/11/2014,business_services,micro,old,False
09320154,THE ACCOUNTING XPERTS LIMITED,30 HARDENHUISH LANE,CHIPPENHAM,SN14 6HN,69201,Accounting and auditing activities,MICRO ENTITY,20/11/2014,business_services,micro,old,False
09365765,ABLE MABEL CRAFTS LIMITED,9 STONECROP CLOSE,CHATHAM,ME4 3HA,46750,Wholesale of chemical products,TOTAL EXEMPTION FULL,23/12/2014,wholesale_retail,small,old,False
09412758,SURPLUSDRIVESUK LTD,121 SALISBURY ROAD,HIGH BARNET,EN5 4JL,46510,"Wholesale of computers, computer peripheral equipment and software",MICRO ENTITY,29/01/2015,wholesale_retail,micro,old,False
09428740,CLIMBATIZE LTD,39 WINDSOR STREET,HINCKLEY,LE10 2EE,82990,Other business support service activities n.e.c.,MICRO ENTITY,09/02/2015,business_services,micro,old,False
